 1728  pads
 1728  groups
   24  rows
    1  max number of pads in a group
   72  max number of pads   in row
   72  max number of groups in row
***************************************************
*  Layout for LP-TPC                               
                       centre [mm]       size [mm] 
  Pad  Group  Row      x        y        x       y 
  206   206   11    90.1774  -13.2676  3.0587  7.0417
  207   207   11    81.0162  -12.7455  3.0587  7.0417
  208   208   11    84.0703  -12.9133  3.0587  7.0417
  209   209   11    74.9070  -12.4285  3.0587  7.0417
  210   210   11    77.9618  -12.5839  3.0587  7.0417
  211   211   12    75.2576   -5.3956  3.0730  7.0417
  212   212   12    78.3267   -5.5517  3.0730  7.0417
  213   213   12    81.3954   -5.7141  3.0730  7.0417
  214   214   12    84.4638   -5.8827  3.0730  7.0417
  215   215   12    87.5318   -6.0575  3.0730  7.0417
  216   216   12    90.5995   -6.2386  3.0730  7.0417
  217   217    1    88.8666  -83.7354  2.9155  7.0417
  218   218    2   103.9192  -77.6893  2.9298  7.0417
  219   219    1    91.7764  -83.9190  2.9155  7.0417
  220   220    2   100.9968  -77.4810  2.9298  7.0417
  221   221    1    94.6857  -84.1085  2.9155  7.0417
  222   222    2    98.0740  -77.2787  2.9298  7.0417
  223   223    1    97.5947  -84.3040  2.9155  7.0417
  224   224    2    95.1507  -77.0822  2.9298  7.0417
  225   225    1   100.5033  -84.5054  2.9155  7.0417
  226   226    2    92.2271  -76.8918  2.9298  7.0417
  227   227    1   103.4114  -84.7127  2.9155  7.0417
  228   228    2    89.3030  -76.7072  2.9298  7.0417
  229   229    3    89.7394  -69.6791  2.9442  7.0417
  230   230    3    92.6777  -69.8645  2.9442  7.0417
  231   231    3    95.6156  -70.0559  2.9442  7.0417
  232   232    3    98.5532  -70.2533  2.9442  7.0417
  233   233    3   101.4903  -70.4567  2.9442  7.0417
  234   234    3   104.4270  -70.6660  2.9442  7.0417
  235   235    5    90.6121  -55.6228  2.9728  7.0417
  236   236    4    90.1758  -62.6510  2.9585  7.0417
  237   237    4    93.1284  -62.8373  2.9585  7.0417
  238   238    4    96.0806  -63.0296  2.9585  7.0417
  239   239    4    99.0324  -63.2280  2.9585  7.0417
  240   240    4   101.9838  -63.4323  2.9585  7.0417
  241   241    4   104.9348  -63.6427  2.9585  7.0417
  242   242    5    93.5790  -55.8101  2.9728  7.0417
  243   243    5    96.5455  -56.0033  2.9728  7.0417
  244   244    5    99.5116  -56.2026  2.9728  7.0417
  245   245    6    91.0485  -48.5947  2.9871  7.0417
