#                                          
# MAP for Data Channel to Layout (Row,Col) 
#                                          
# Convention:                              
#    - Looking at the Pad Surface          
#    - Lower-Left corner is (0,0)          
#                                          
# Create by Yun-Ha using David's Map       
#                                          
# NOTE:                                    
#  pad at 20,65 is for HV
#  pad at 20,64 is for HV
#                             
#  72, 73 are added manually to give location anyway
#             
#-------------------------------           
# PhysChan  FEC  ASIC  Row  Col            
#-------------------------------           
      575    1     7   11   59
      576    2     8   12   42
      577    2     8   12   47
      578    2     8   12   43
      579    2     8   12   46
      580    2     8   12   44
      581    2     8   12   45
      582    2     8   13   42
      583    2     8   13   44
      584    2     8   13   43
      585    2     8   13   46
      586    2     8   13   45
      587    2     8   14   43
      588    2     8   13   47
      589    2     8   14   44
      590    2     8   14   42
      591    2     8   14   46
      592    2     8   14   45
      593    2     8   15   43
      594    2     8   14   47
      595    2     8   15   44
      596    2     8   15   42
      597    2     8   15   46
      598    2     8   15   45
      599    2     8   16   47
      600    2     8   15   47
      601    2     8   16   44
      602    2     8   16   43
      603    2     8   16   46
      604    2     8   16   42
      605    2     8   16   45
      606    2     8   17   46
      607    2     8   17   47
      608    2     8   17   43
      609    2     8   17   45
      610    2     8   17   42
      611    2     8   17   44
      612    2     8   18   42
      613    2     8   18   47
      614    2     8   20   44
      615    2     8   18   46
      616    2     8   20   43
      617    2     8   18   45
      618    2     8   21   45
      619    2     8   19   47
      620    2     8   23   46
      621    2     8   19   46
      622    2     8   22   45
      623    2     8   18   44
      624    2     8   23   45
      625    2     8   18   43
      626    2     8   23   42
      627    2     8   19   45
      628    2     8   22   42
      629    2     8   20   47
      630    2     8   23   43
      631    2     8   20   46
      632    2     8   22   43
      633    2     8   21   47
      634    2     8   19   42
      635    2     8   19   44
      636    2     8   23   44
      637    2     8   19   43
      638    2     8   21   42
      639    2     8   21   46
      640    2     8   21   44
      641    2     8   22   47
      642    2     8   22   44
      643    2     8   23   47
      644    2     8   21   43
      645    2     8   20   45
      646    2     8   20   42
      647    2     8   22   46
      648    2     9   12   38
      649    2     9   12   39
      650    2     9   12   37
      651    2     9   12   40
      652    2     9   12   36
      653    2     9   12   41
      654    2     9   13   37
      655    2     9   13   40
      656    2     9   13   38
      657    2     9   13   39
      658    2     9   13   36
      659    2     9   13   41
      660    2     9   14   38
      661    2     9   14   39
      662    2     9   14   37
      663    2     9   14   40
      664    2     9   14   36
      665    2     9   14   41
      666    2     9   15   38
      667    2     9   15   41
      668    2     9   15   37
      669    2     9   15   39
      670    2     9   15   36
      671    2     9   15   40
      672    2     9   16   36
      673    2     9   16   41
      674    2     9   16   37
      675    2     9   16   39
      676    2     9   16   38
      677    2     9   16   40
      678    2     9   17   36
      679    2     9   17   41
      680    2     9   17   37
      681    2     9   18   41
      682    2     9   17   38
      683    2     9   17   39
      684    2     9   18   36
      685    2     9   19   41
